basedir,bdf,video,duration
Sessions/2876,Part_23_S_Trial8_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_16,68
Sessions/48,Part_1_Trial7_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_8,11
Sessions/1226,Part_10_Trial15_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_16,11
Sessions/849,Part_7_Trial28_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_29,11
Sessions/3304,Part_26_Trial13_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_14,11
Sessions/706,Part_6_Trial15_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_16,11
Sessions/3394,Part_27_S_Trial7_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_14,97
Sessions/921,Part_8_N_Trial6_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_11,18
Sessions/1375,Part_11_Trial4_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_5,11
Sessions/2187,Part_17_Trial6_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_7,13
Sessions/1061,Part_9_N_Trial11_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_21,21
Sessions/3563,Part_28_Trial12_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_13,11
Sessions/1508,Part_12_Trial7_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_8,11
Sessions/2062,Part_16_Trial11_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_12,12
Sessions/1052,Part_9_S_Trial6_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_12,98
Sessions/3332,Part_26_Trial11_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_12,11
Sessions/1152,Part_9_Trial11_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_12,15
Sessions/2344,Part_19_S_Trial2_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_4,126
Sessions/3374,Part_26_Trial23_taggingVideos,P26-Rec4-2009.09.01.17.45.49_C1 trigger _C_Section_24,12
Sessions/114,Part_1_Trial13_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_14,12
Sessions/2383,Part_19_Trial2_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_3,11
Sessions/3737,Part_29_Trial26_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_27,11
Sessions/2058,Part_16_Trial7_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_8,9
Sessions/2086,Part_17_S_Trial3_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_6,191
Sessions/2614,Part_21_S_Trial7_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_14,114
Sessions/3226,Part_25_Trial5_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_6,12
Sessions/3046,Part_24_Trial15_taggingImages1,P24-Rec2-2009.09.01.12.48.07_C1 trigger _C_Section_16,11
Sessions/922,Part_8_S_Trial6_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_12,84
Sessions/1222,Part_10_Trial11_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_12,11
Sessions/3346,Part_26_Trial25_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_26,11
Sessions/676,Part_6_S_Trial13_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_26,151
Sessions/3555,Part_28_Trial4_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_5,11
Sessions/2550,Part_20_Trial9_taggingImages2,P20-Rec3-2009.08.31.11.33.16_C1 trigger _C_Section_10,11
Sessions/2586,Part_20_Trial15_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_16,9
Sessions/3028,Part_24_S_Trial19_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_38,142
Sessions/365,Part_3_Trial4_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_5,15
Sessions/675,Part_6_N_Trial13_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_25,21
Sessions/3564,Part_28_Trial13_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_14,11
Sessions/398,Part_4_S_Trial4_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_8,141
Sessions/3100,Part_24_Trial9_taggingVideos,P24-Rec4-2009.09.01.13.00.44_C1 trigger _C_Section_10,12
Sessions/558,Part_5_S_Trial19_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_38,140
Sessions/2581,Part_20_Trial10_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_11,13
Sessions/1586,Part_13_S_Trial13_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_26,92
Sessions/2213,Part_18_N_Trial2_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_3,17
Sessions/273,Part_3_N_Trial7_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_13,21
Sessions/1752,Part_14_Trial21_taggingImages1,P14-Rec2-2009.08.26.17.21.15_C1 trigger _C_Section_22,12
Sessions/1346,Part_11_Trial5_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_6,11
Sessions/1809,Part_14_Trial18_taggingVideos,P14-Rec4-2009.08.26.17.33.49_C1 trigger _C_Section_19,12
Sessions/2300,Part_18_Trial19_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_20,11
Sessions/1527,Part_12_Trial26_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_27,11
Sessions/437,Part_4_Trial6_taggingImages1,P4-Rec2-2009.07.21.18.41.08_C1 trigger _C_Section_7,12
Sessions/2324,Part_18_Trial13_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_14,11
Sessions/3127,Part_25_N_Trial4_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_7,22
Sessions/3577,Part_28_Trial26_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_27,11
Sessions/1063,Part_9_N_Trial12_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_23,24
Sessions/2105,Part_17_N_Trial13_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_25,20
Sessions/3638,Part_28_Trial27_taggingVideos,P28-Rec4-2009.09.02.19.34.25_C1 trigger _C_Section_28,12
Sessions/2662,Part_21_Trial21_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_22,11
Sessions/1293,Part_10_Trial22_taggingVideos,P10-Rec4-2009.07.23.17.50.59_C1 trigger _C_Section_23,13
Sessions/449,Part_4_Trial18_taggingImages1,P4-Rec2-2009.07.21.18.41.08_C1 trigger _C_Section_19,11
Sessions/906,Part_7_Trial25_taggingVideos,P7-Rec4-2009.07.22.17.50.27_C1 trigger _C_Section_26,15
Sessions/2991,Part_24_N_Trial1_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_1,20
Sessions/1966,Part_16_S_Trial8_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_16,117
Sessions/3818,Part_30_Trial7_taggingImages1,P30-Rec2-2009.09.03.15.12.12_C1 trigger _C_Section_8,11
Sessions/2168,Part_17_Trial17_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_18,11
Sessions/940,Part_8_S_Trial15_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_30,62
Sessions/2878,Part_23_S_Trial9_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_18,113
Sessions/2585,Part_20_Trial14_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_15,12
Sessions/2709,Part_21_Trial8_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_9,9
Sessions/380,Part_3_Trial19_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_20,15
Sessions/2220,Part_18_S_Trial5_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_10,141
Sessions/3199,Part_25_Trial8_taggingImages2,P25-Rec3-2009.09.01.15.44.55_C1 trigger _C_Section_9,11
Sessions/267,Part_3_N_Trial4_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_7,25
Sessions/2705,Part_21_Trial4_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_5,12
Sessions/1672,Part_13_Trial11_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_12,13
Sessions/2738,Part_22_S_Trial4_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_8,92
Sessions/2138,Part_17_Trial17_taggingImages1,P17-Rec2-2009.08.28.10.25.21_C1 trigger _C_Section_18,12
Sessions/2082,Part_17_S_Trial1_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_2,113
Sessions/1426,Part_11_Trial25_taggingVideos,P11-Rec4-2009.07.24.11.41.28_C1 trigger _C_Section_26,15
Sessions/3751,Part_29_Trial10_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_11,13
Sessions/2446,Part_19_Trial5_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_6,12
Sessions/2362,Part_19_S_Trial11_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_22,107
Sessions/538,Part_5_S_Trial9_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_18,85
Sessions/1533,Part_12_Trial2_taggingVideos,P12-Rec4-2009.08.26.12.31.49_C1 trigger _C_Section_3,14
Sessions/2177,Part_17_Trial26_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_27,11
Sessions/3706,Part_29_Trial25_taggingImages1,P29-Rec2-2009.09.03.12.37.52_C1 trigger _C_Section_26,11
Sessions/2938,Part_23_Trial7_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_8,11
Sessions/3418,Part_27_S_Trial19_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_38,110
Sessions/3062,Part_24_Trial1_taggingImages2,P24-Rec3-2009.09.01.12.54.27_C1 trigger _C_Section_2,11
Sessions/2455,Part_19_Trial14_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_15,11
Sessions/783,Part_7_N_Trial2_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_3,18
Sessions/2235,Part_18_N_Trial13_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_25,20
Sessions/1425,Part_11_Trial24_taggingVideos,P11-Rec4-2009.07.24.11.41.28_C1 trigger _C_Section_25,15
Sessions/2884,Part_23_S_Trial12_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_24,113
Sessions/1009,Part_8_Trial28_taggingImages2,P8-Rec3-2009.07.23.14.00.08_C1 trigger _C_Section_29,11
Sessions/2803,Part_22_Trial2_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_3,11
Sessions/1687,Part_13_Trial26_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_27,12
Sessions/3099,Part_24_Trial8_taggingVideos,P24-Rec4-2009.09.01.13.00.44_C1 trigger _C_Section_9,10
Sessions/9,Part_1_N_Trial5_emotion,P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_9,21
Sessions/732,Part_6_Trial11_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_12,11
Sessions/117,Part_1_Trial16_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_17,16
Sessions/1965,Part_16_N_Trial8_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_15,22
Sessions/983,Part_8_Trial2_taggingImages2,P8-Rec3-2009.07.23.14.00.08_C1 trigger _C_Section_3,10
Sessions/3312,Part_26_Trial21_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_22,11
Sessions/1587,Part_13_N_Trial14_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_27,17
Sessions/1339,Part_11_N_Trial20_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_39,24
Sessions/2580,Part_20_Trial9_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_10,14
Sessions/193,Part_2_Trial22_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_23,11
Sessions/311,Part_3_Trial10_taggingImages1,P3-Rec2-2009.07.21.16.11.18_C1 trigger _C_Section_11,11
Sessions/2432,Part_19_Trial21_taggingImages2,P19-Rec3-2009.08.28.17.27.41_C1 trigger _C_Section_22,10
Sessions/2635,Part_21_N_Trial18_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_35,17
Sessions/3552,Part_28_Trial1_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_2,12
Sessions/3019,Part_24_N_Trial15_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_29,20
Sessions/3361,Part_26_Trial10_taggingVideos,P26-Rec4-2009.09.01.17.45.49_C1 trigger _C_Section_11,12
Sessions/2629,Part_21_N_Trial15_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_29,20
Sessions/333,Part_3_Trial2_taggingImages2,P3-Rec3-2009.07.21.16.19.16_C1 trigger _C_Section_3,11
Sessions/3050,Part_24_Trial19_taggingImages1,P24-Rec2-2009.09.01.12.48.07_C1 trigger _C_Section_20,12
Sessions/2667,Part_21_Trial26_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_27,11
Sessions/2769,Part_22_N_Trial20_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_39,22
Sessions/1600,Part_13_S_Trial20_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_40,121
Sessions/2832,Part_22_Trial1_taggingVideos,P22-Rec4-2009.08.31.17.33.45_C1 trigger _C_Section_2,12
Sessions/2975,Part_23_Trial14_taggingVideos,P23-Rec4-2009.09.01.11.04.38_C1 trigger _C_Section_15,12
Sessions/2359,Part_19_N_Trial10_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_19,17
Sessions/1043,Part_9_N_Trial2_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_3,18
Sessions/547,Part_5_N_Trial14_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_27,18
Sessions/1407,Part_11_Trial6_taggingVideos,P11-Rec4-2009.07.24.11.41.28_C1 trigger _C_Section_7,16
Sessions/401,Part_4_N_Trial6_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_11,18
Sessions/2116,Part_17_S_Trial18_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_36,81
Sessions/3135,Part_25_N_Trial8_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_15,22
Sessions/743,Part_6_Trial22_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_23,11
Sessions/3476,Part_27_Trial25_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_26,11
Sessions/1495,Part_12_Trial24_taggingImages1,P12-Rec2-2009.08.26.12.19.18_C1 trigger _C_Section_25,11
Sessions/2717,Part_21_Trial16_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_17,14
Sessions/1118,Part_9_Trial7_taggingImages2,P9-Rec3-2009.07.23.15.47.12_C1 trigger _C_Section_8,11
Sessions/3059,Part_24_Trial28_taggingImages1,P24-Rec2-2009.09.01.12.48.07_C1 trigger _C_Section_29,12
Sessions/3569,Part_28_Trial18_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_19,11
Sessions/3515,Part_28_N_Trial3_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_5,20
Sessions/3063,Part_24_Trial2_taggingImages2,P24-Rec3-2009.09.01.12.54.27_C1 trigger _C_Section_3,12
Sessions/689,Part_6_N_Trial20_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_39,24
Sessions/2048,Part_16_Trial27_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_28,11
Sessions/773,Part_6_Trial22_taggingVideos,P6-Rec4-2009.07.22.15.52.24_C1 trigger _C_Section_23,13
Sessions/1394,Part_11_Trial23_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_24,11
Sessions/2910,Part_23_Trial9_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_10,11
Sessions/1304,Part_11_S_Trial2_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_4,134
Sessions/2947,Part_23_Trial16_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_17,11
Sessions/3894,Part_30_Trial23_taggingVideos,P30-Rec4-2009.09.03.15.25.03_C1 trigger _C_Section_24,14
Sessions/1766,Part_14_Trial5_taggingImages2,P14-Rec3-2009.08.26.17.27.33_C1 trigger _C_Section_6,11
Sessions/820,Part_7_S_Trial20_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_40,96
Sessions/3687,Part_29_Trial6_taggingImages1,P29-Rec2-2009.09.03.12.37.52_C1 trigger _C_Section_7,11
Sessions/2534,Part_20_Trial23_taggingImages1,P20-Rec2-2009.08.31.11.26.53_C1 trigger _C_Section_24,11
Sessions/3520,Part_28_S_Trial5_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_10,77
Sessions/1153,Part_9_Trial12_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_13,15
Sessions/1566,Part_13_S_Trial3_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_6,91
Sessions/1542,Part_12_Trial11_taggingVideos,P12-Rec4-2009.08.26.12.31.49_C1 trigger _C_Section_12,13
Sessions/2305,Part_18_Trial24_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_25,11
Sessions/2370,Part_19_S_Trial15_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_30,118
Sessions/3667,Part_29_N_Trial14_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_27,17
Sessions/2191,Part_17_Trial10_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_11,13
Sessions/3579,Part_28_Trial28_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_29,11
Sessions/1220,Part_10_Trial9_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_10,11
Sessions/1507,Part_12_Trial6_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_7,11
Sessions/696,Part_6_Trial5_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_6,11
Sessions/3839,Part_30_Trial28_taggingImages1,P30-Rec2-2009.09.03.15.12.12_C1 trigger _C_Section_29,11
Sessions/1196,Part_10_S_Trial13_emotion,P10-Rec1-2009.07.23.16.46.58_C1 trigger _C_Section_26,119
Sessions/1214,Part_10_Trial3_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_4,12
Sessions/2490,Part_20_S_Trial10_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_20,102
Sessions/337,Part_3_Trial6_taggingImages2,P3-Rec3-2009.07.21.16.19.16_C1 trigger _C_Section_7,11
Sessions/1351,Part_11_Trial10_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_11,11
Sessions/1567,Part_13_N_Trial4_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_7,22
Sessions/3017,Part_24_N_Trial14_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_27,17
Sessions/2325,Part_18_Trial14_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_15,12
Sessions/802,Part_7_S_Trial11_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_22,115
Sessions/2590,Part_20_Trial19_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_20,12
Sessions/1524,Part_12_Trial23_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_24,11
Sessions/2688,Part_21_Trial17_taggingImages2,P21-Rec3-2009.08.31.15.19.32_C1 trigger _C_Section_18,11
Sessions/445,Part_4_Trial14_taggingImages1,P4-Rec2-2009.07.21.18.41.08_C1 trigger _C_Section_15,12
Sessions/1245,Part_10_Trial4_taggingImages2,P10-Rec3-2009.07.23.17.44.24_C1 trigger _C_Section_5,11
Sessions/3122,Part_25_S_Trial1_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_2,115
Sessions/578,Part_5_Trial17_taggingImages1,P5-Rec2-2009.07.22.13.04.36_C1 trigger _C_Section_18,11
Sessions/1336,Part_11_S_Trial18_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_36,77
Sessions/1391,Part_11_Trial20_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_21,11
Sessions/245,Part_2_Trial14_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_15,15
Sessions/2733,Part_22_N_Trial2_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_3,17
Sessions/2387,Part_19_Trial6_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_7,11
Sessions/3752,Part_29_Trial11_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_12,12
Sessions/82,Part_1_Trial11_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_12,10
Sessions/3606,Part_28_Trial25_taggingImages2,P28-Rec3-2009.09.02.19.28.24_C1 trigger _C_Section_26,10
Sessions/2296,Part_18_Trial15_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_16,11
Sessions/2113,Part_17_N_Trial17_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_33,20
Sessions/3689,Part_29_Trial8_taggingImages1,P29-Rec2-2009.09.03.12.37.52_C1 trigger _C_Section_9,12
Sessions/1021,Part_8_Trial10_taggingVideos,P8-Rec4-2009.07.23.14.06.32_C1 trigger _C_Section_11,15
Sessions/629,Part_5_Trial8_taggingVideos,P5-Rec4-2009.07.22.13.18.37_C1 trigger _C_Section_9,13
Sessions/3171,Part_25_Trial10_taggingImages1,P25-Rec2-2009.09.01.15.38.25_C1 trigger _C_Section_11,11
Sessions/1978,Part_16_S_Trial14_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_28,116
Sessions/2883,Part_23_N_Trial12_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_23,22
Sessions/3560,Part_28_Trial9_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_10,11
Sessions/2466,Part_19_Trial25_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_26,12
Sessions/2092,Part_17_S_Trial6_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_12,139
Sessions/848,Part_7_Trial27_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_28,11
Sessions/3005,Part_24_N_Trial8_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_15,22
Sessions/2045,Part_16_Trial24_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_25,11
Sessions/1558,Part_12_Trial27_taggingVideos,P12-Rec4-2009.08.26.12.31.49_C1 trigger _C_Section_28,12
Sessions/210,Part_2_Trial9_taggingImages2,P2-Rec3-2009.07.10.16.41.03_C1 trigger _C_Section_10,12
Sessions/485,Part_4_Trial24_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_25,11
Sessions/1355,Part_11_Trial14_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_15,11
Sessions/3392,Part_27_S_Trial6_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_12,142
Sessions/2253,Part_18_Trial2_taggingImages1,P18-Rec2-2009.08.28.12.14.34_C1 trigger _C_Section_3,11
Sessions/3138,Part_25_S_Trial9_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_18,163
Sessions/912,Part_8_S_Trial1_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_2,117
Sessions/3798,Part_30_S_Trial14_emotion,P30-Rec1-2009.09.03.14.25.18_C1 trigger _C_Section_28,55
Sessions/2182,Part_17_Trial1_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_2,13
Sessions/1044,Part_9_S_Trial2_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_4,83
Sessions/1389,Part_11_Trial18_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_19,13
Sessions/1358,Part_11_Trial17_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_18,11
Sessions/1638,Part_13_Trial7_taggingImages2,P13-Rec3-2009.08.26.15.27.21_C1 trigger _C_Section_8,11
Sessions/197,Part_2_Trial26_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_27,11
Sessions/3758,Part_29_Trial17_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_18,9
Sessions/941,Part_8_N_Trial16_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_31,23
Sessions/2399,Part_19_Trial18_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_19,11
Sessions/930,Part_8_S_Trial10_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_20,113
Sessions/2093,Part_17_N_Trial7_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_13,20
Sessions/250,Part_2_Trial19_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_20,16
Sessions/2454,Part_19_Trial13_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_14,11
Sessions/156,Part_2_S_Trial13_emotion,P2-Rec1-2009.07.10.15.42.44_C1 trigger _C_Section_26,96
Sessions/2542,Part_20_Trial1_taggingImages2,P20-Rec3-2009.08.31.11.33.16_C1 trigger _C_Section_2,11
Sessions/452,Part_4_Trial21_taggingImages1,P4-Rec2-2009.07.21.18.41.08_C1 trigger _C_Section_22,11
Sessions/265,Part_3_N_Trial3_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_5,22
